Original,POS
"When an agile approach is used, Control Schedule is concerned with: Determining the current status of the project schedule by comparing the total amount of work delivered and uu accepted against the estimates of work completed for the elapsed time cycle; Conducting retrospectives (scheduled reviews to record lessons learned) for correcting processes and improving, uu if required; Reprioritizing the remaining work plan (backlog); uu Determining the rate at which the deliverables are produced, validated, and accepted (velocity) in the given time uu per iteration (agreed-upon work cycle duration, typically 2 weeks or 1 month); Determining that the project schedule has changed; and uu Managing the actual changes as they occur.","['WRB', 'DT', 'JJ', 'NN', 'VBZ', 'VBN', ',', 'NNP', 'NNP', 'VBZ', 'VBN', 'IN', ':', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'NN', 'VBN', 'CC', 'JJ', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'NN', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'NN', ':', 'VBG', 'NNS', '(', 'VBN', 'NNS', 'TO', 'VB', 'NNS', 'VBN', ')', 'IN', 'VBG', 'NNS', 'CC', 'VBG', ',', 'JJ', 'IN', 'VBN', ':', 'VBG', 'DT', 'VBG', 'NN', 'NN', '(', 'NN', ')', ':', 'JJ', 'VBG', 'DT', 'NN', 'IN', 'WDT', 'DT', 'NNS', 'VBP', 'VBN', ',', 'VBN', ',', 'CC', 'VBD', '(', 'NN', ')', 'IN', 'DT', 'VBN', 'NN', 'JJ', 'IN', 'NN', '(', 'JJ', 'NN', 'NN', 'NN', ',', 'RB', 'CD', 'NNS', 'CC', 'CD', 'NN', ')', ':', 'VBG', 'IN', 'DT', 'NN', 'NN', 'VBZ', 'VBN', ':', 'CC', 'JJ', 'VBG', 'DT', 'JJ', 'NNS', 'IN', 'PRP', 'VBP', '.']"
"When work is being contracted, regular and milestone status updates from contractors and suppliers are a means of ensuring the work is progressing as agreed upon to ensure the schedule is under control.","['WRB', 'NN', 'VBZ', 'VBG', 'VBN', ',', 'JJ', 'CC', 'NN', 'NN', 'VBZ', 'IN', 'NNS', 'CC', 'NNS', 'VBP', 'DT', 'NNS', 'IN', 'VBG', 'DT', 'NN', 'VBZ', 'VBG', 'IN', 'VBN', 'IN', 'TO', 'VB', 'DT', 'NN', 'VBZ', 'IN', 'NN', '.']"
Scheduled status reviews and walkthroughs should be done to ensure the contractor reports are accurate and complete.,"['VBN', 'NN', 'NNS', 'CC', 'NNS', 'MD', 'VB', 'VBN', 'TO', 'VB', 'DT', 'NN', 'NNS', 'VBP', 'JJ', 'CC', 'JJ', '.']"
CONTROL SCHEDULE: INPUTS 6.,"['NNP', 'NNP', ':', 'NNP', 'CD', '.']"
PROJECT MANAGEMENT PLAN Described in Section 4.,"['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
Project management plan components include but are not limited to: Schedule management plan.,"['NNP', 'NN', 'NN', 'NNS', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'NNP', 'NN', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
"The schedule management describes the frequency uu that the schedule will be updated, how reserve will be used, and how the schedule will be controlled.","['DT', 'NN', 'NN', 'VBZ', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'MD', 'VB', 'VBN', ',', 'WRB', 'NN', 'MD', 'VB', 'VBN', ',', 'CC', 'WRB', 'DT', 'NN', 'MD', 'VB', 'VBN', '.']"
Schedule baseline.,"['NNP', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
"The schedule baseline is compared with actual results to uu determine if a change, corrective action, or preventive action is necessary.","['DT', 'NN', 'NN', 'VBZ', 'VBN', 'IN', 'JJ', 'NNS', 'TO', 'JJ', 'NN', 'IN', 'DT', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NN', 'VBZ', 'JJ', '.']"
Scope baseline.,"['NNP', 'NN', '.']"
Described in Section 5.,"['VBN', 'IN', 'NN', 'CD', '.']"
"The project WBS, deliverables, constraints, and assumptions uu documented in the scope baseline are considered explicitly when monitoring and controlling the schedule baseline.","['DT', 'NN', 'NNP', ',', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', 'VBP', 'VBN', 'IN', 'DT', 'NN', 'NN', 'VBP', 'VBN', 'RB', 'WRB', 'NN', 'CC', 'VBG', 'DT', 'NN', 'NN', '.']"
Performance measurement baseline.,"['NNP', 'NN', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
"When using earned value analysis the uu performance measurement baseline is compared to actual results to determine if a change, corrective action, or preventive action is necessary.","['WRB', 'VBG', 'VBN', 'NN', 'NN', 'DT', 'JJ', 'NN', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'JJ', 'NNS', 'TO', 'VB', 'IN', 'DT', 'NN', ',', 'JJ', 'NN', ',', 'CC', 'JJ', 'NN', 'VBZ', 'JJ', '.']"
Part 1 - Guide 224 6.,"['NN', 'CD', ':', 'NNP', 'CD', 'CD', '.']"
PROJECT DOCUMENTS Project documents that can be considered as inputs for this process include but are not limited to: Lessons learned register.,"['NN', 'NNP', 'NNP', 'NNS', 'WDT', 'MD', 'VB', 'VBN', 'IN', 'NNS', 'IN', 'DT', 'NN', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'NNS', 'VBD', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
Lessons learned earlier in the project can be applied to uu later phases in the project to improve schedule control.,"['NNS', 'VBD', 'RBR', 'IN', 'DT', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'TO', 'VB', 'NN', 'NN', '.']"
Project calendars.,"['NN', 'NNS', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
A schedule model may require more than one project calendar uu to allow for different work periods for some activities to calculate the schedule forecasts.,"['DT', 'NN', 'NN', 'MD', 'VB', 'JJR', 'IN', 'CD', 'NN', 'NN', 'NN', 'TO', 'VB', 'IN', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'NNS', 'TO', 'VB', 'DT', 'NN', 'NNS', '.']"
Project schedule.,"['NN', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Project schedule refers to the most recent version with notations uu to indicate updates, completed activities, and started activities as of the indicated date.","['NN', 'NN', 'NNS', 'TO', 'DT', 'RBS', 'JJ', 'NN', 'IN', 'NNS', 'VBP', 'TO', 'VB', 'NNS', ',', 'VBN', 'NNS', ',', 'CC', 'VBD', 'NNS', 'IN', 'IN', 'DT', 'JJ', 'NN', '.']"
Resource calendars.,"['NNP', 'NNS', '.']"
Described in Section 9.,"['VBN', 'IN', 'NN', 'CD', '.']"
Resource calendars show the availability of team and uu physical resources.,"['NNP', 'VBZ', 'VBP', 'DT', 'NN', 'IN', 'NN', 'CC', 'JJ', 'JJ', 'NNS', '.']"
Schedule data.,"['NNP', 'NNS', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
Schedule data will be reviewed and updated in the Control uu Schedule process.,"['NNP', 'NNS', 'MD', 'VB', 'VBN', 'CC', 'VBN', 'IN', 'DT', 'NNP', 'JJ', 'NNP', 'NN', '.']"
WORK PERFORMANCE DATA Described in Section 4.,"['JJ', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
"Work performance data contains data on project status such as which activities have started, their progress (e.","['NN', 'NN', 'NNS', 'NNS', 'NNS', 'IN', 'NN', 'NN', 'JJ', 'IN', 'WDT', 'NNS', 'VBP', 'VBN', ',', 'PRP$', 'NN', '(', 'NN', '.']"
"ORGANIZATIONAL PROCESS ASSETS The organizational process assets that can influence the Control Schedule process include but are not limited to: Existing formal and informal schedule control-related policies, procedures, and guidelines; uu Schedule control tools; and uu Monitoring and reporting methods to be used.","['NNP', 'NNP', 'NNP', 'DT', 'JJ', 'NN', 'NNS', 'WDT', 'MD', 'VB', 'DT', 'NNP', 'NNP', 'NN', 'NN', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'VBG', 'JJ', 'CC', 'JJ', 'NN', 'JJ', 'NNS', ',', 'NNS', ',', 'CC', 'NNS', ':', 'JJ', 'NNP', 'NN', 'NNS', ':', 'CC', 'JJ', 'NNP', 'CC', 'VBG', 'NNS', 'TO', 'VB', 'VBN', '.']"
CONTROL SCHEDULE: TOOLS AND TECHNIQUES 6.,"['NNP', 'NNP', ':', 'NNP', 'NNP', 'NNP', 'CD', '.']"
DATA ANALYSIS Data analysis techniques that can be used for this process include but are not limited to: Earned value analysis.,"['NNP', 'NNP', 'NNP', 'NN', 'NNS', 'WDT', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NN', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'VBN', 'NN', 'NN', '.']"
Described in Section 7.,"['VBN', 'IN', 'NN', 'CD', '.']"
Schedule performance measurements such as schedule uu variance (SV) and schedule performance index (SPI) are used to assess the magnitude of variation to the original schedule baseline.,"['NN', 'NN', 'NNS', 'JJ', 'IN', 'NN', 'JJ', 'NN', '(', 'NNP', ')', 'CC', 'JJ', 'NN', 'NN', '(', 'NNP', ')', 'VBP', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', 'TO', 'DT', 'JJ', 'NN', 'NN', '.']"
Iteration burndown chart.,"['NNP', 'JJ', 'NN', '.']"
This chart tracks the work that remains to be completed in the iteration backlog.,"['DT', 'NN', 'VBZ', 'DT', 'NN', 'WDT', 'VBZ', 'TO', 'VB', 'VBN', 'IN', 'DT', 'NN', 'NN', '.']"
It uu is used to analyze the variance with respect to an ideal burndown based on the work committed from iteration planning (see Section 6.,"['PRP', 'PRP', 'VBZ', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', 'TO', 'DT', 'NN', 'NN', 'VBN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'NN', 'NN', '(', 'VB', 'NNP', 'CD', '.']"
A forecast trend line can be used to predict the likely variance at iteration completion and take appropriate actions during the course of the iteration.,"['DT', 'JJ', 'NN', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NN', 'CC', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
A diagonal line representing the ideal burndown and daily actual remaining work is then plotted.,"['DT', 'JJ', 'NN', 'VBG', 'DT', 'JJ', 'NN', 'CC', 'JJ', 'JJ', 'VBG', 'NN', 'VBZ', 'RB', 'VBN', '.']"
A trend line is then calculated to forecast completion based on remaining work.,"['DT', 'NN', 'NN', 'VBZ', 'RB', 'VBN', 'TO', 'VB', 'NN', 'VBN', 'IN', 'VBG', 'NN', '.']"
Figure 6-24 is an example of an iteration burndown chart.,"['NN', 'CD', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NN', '.']"
Iteration Burndown Chart 300 250 Actual Remaining 200 Remaining Work Work Ideal 150 Remaining Work 100 Forecast Remaining Work 50 0 1 2 3 4 5 6 7 8 9 10 11 12 Iteration Days Figure 6-24.,"['NNP', 'NNP', 'NNP', 'CD', 'CD', 'JJ', 'VBG', 'CD', 'VBG', 'NNP', 'NNP', 'NNP', 'CD', 'NNP', 'NNP', 'CD', 'NNP', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'CD', 'NNP', 'NNP', 'NNP', 'JJ', '.']"
Iteration Burndown Chart Part 1 - Guide 226 Performance reviews.,"['NNP', 'NNP', 'NNP', 'NNP', 'CD', ':', 'NNP', 'CD', 'NNP', 'NNS', '.']"
"Performance reviews measure, compare, and analyze schedule performance against uu the schedule baseline such as actual start and finish dates, percent complete, and remaining duration for work in progress.","['NNP', 'VBZ', 'NN', ',', 'NN', ',', 'CC', 'JJ', 'NN', 'NN', 'IN', 'IN', 'DT', 'NN', 'NN', 'JJ', 'IN', 'JJ', 'NN', 'CC', 'JJ', 'NNS', ',', 'NN', 'NN', ',', 'CC', 'VBG', 'NN', 'IN', 'NN', 'IN', 'NN', '.']"
Trend analysis.,"['NNP', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
Trend analysis examines project performance over time to determine uu whether performance is improving or deteriorating.,"['NNP', 'NN', 'NNS', 'NN', 'NN', 'IN', 'NN', 'TO', 'VB', 'JJ', 'IN', 'NN', 'VBZ', 'VBG', 'CC', 'VBG', '.']"
Graphical analysis techniques are valuable for understanding performance to date and for comparing to future performance goals in the form of completion dates.,"['JJ', 'NN', 'NNS', 'VBP', 'JJ', 'IN', 'VBG', 'NN', 'TO', 'NN', 'CC', 'IN', 'VBG', 'TO', 'JJ', 'NN', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NN', 'NNS', '.']"
Variance analysis.,"['NN', 'NN', '.']"
"Variance analysis looks at variances in planned versus actual start and finish dates, planned uu versus actual durations, and variances in float.","['NN', 'NN', 'VBZ', 'IN', 'NNS', 'IN', 'JJ', 'NN', 'JJ', 'NN', 'CC', 'JJ', 'NNS', ',', 'VBD', 'JJ', 'NN', 'JJ', 'NNS', ',', 'CC', 'NNS', 'IN', 'NN', '.']"
Part of variance analysis is determining the cause and degree of variance relative to the schedule baseline (see Section 6.,"['NN', 'IN', 'NN', 'NN', 'VBZ', 'VBG', 'DT', 'NN', 'CC', 'NN', 'IN', 'NN', 'NN', 'TO', 'DT', 'NN', 'NN', '(', 'VB', 'NNP', 'CD', '.']"
"For example, a major delay on any activity not on the critical path may have little effect on the overall project schedule, while a much shorter delay on a critical or near-critical activity may require immediate action.","['IN', 'NN', ',', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'RB', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NN', ',', 'IN', 'DT', 'RB', 'JJR', 'NN', 'IN', 'DT', 'JJ', 'CC', 'JJ', 'NN', 'MD', 'VB', 'JJ', 'NN', '.']"
What-if scenario analysis.,"['NNP', 'NN', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
What-if scenario analysis is used to assess the various uu scenarios guided by the output from the Project Risk Management processes to bring the schedule model into alignment with the project management plan and approved baseline.,"['NNP', 'NN', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'DT', 'JJ', 'JJ', 'NNS', 'VBN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN', 'CC', 'VBD', 'NN', '.']"
CRITICAL PATH METHOD Described in Section 6.,"['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
Comparing the progress along the critical path can help determine schedule status.,"['VBG', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'VB', 'NN', 'NN', '.']"
The variance on the critical path will have a direct impact on the project end date.,"['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN', '.']"
Evaluating the progress of activities on near critical paths can identify schedule risk.,"['VBG', 'DT', 'NN', 'IN', 'NNS', 'IN', 'IN', 'JJ', 'NNS', 'MD', 'VB', 'NN', 'NN', '.']"
PROJECT MANAGEMENT INFORMATION SYSTEM (PMIS) Described in Section 4.,"['NNP', 'NNP', 'NNP', 'NNP', '(', 'NNP', ')', 'NNP', 'IN', 'NNP', 'CD', '.']"
"Project management information systems include scheduling software that provides the ability to track planned dates versus actual dates, to report variances to and progress made against the schedule baseline, and to forecast the effects of changes to the project schedule model.","['NNP', 'NN', 'NN', 'NNS', 'VBP', 'VBG', 'NN', 'WDT', 'VBZ', 'DT', 'NN', 'TO', 'VB', 'JJ', 'NNS', 'VBP', 'JJ', 'NNS', ',', 'TO', 'VB', 'NNS', 'TO', 'CC', 'VB', 'VBN', 'IN', 'DT', 'NN', 'NN', ',', 'CC', 'TO', 'VB', 'DT', 'NNS', 'IN', 'NNS', 'TO', 'DT', 'NN', 'NN', 'NN', '.']"
RESOURCE OPTIMIZATION Described in Section 6.,"['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
Resource optimization techniques involve the scheduling of activities and the resources required by those activities while taking into consideration both the resource availability and the project time.,"['NNP', 'NN', 'NNS', 'VBP', 'DT', 'NN', 'IN', 'NNS', 'CC', 'DT', 'NNS', 'VBN', 'IN', 'DT', 'NNS', 'IN', 'VBG', 'IN', 'NN', 'CC', 'DT', 'NN', 'NN', 'CC', 'DT', 'NN', 'NN', '.']"
LEADS AND LAGS Adjusting leads and lags is applied during network analysis to find ways to bring project activities that are behind into alignment with the plan.,"['NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'CC', 'VBZ', 'VBZ', 'VBN', 'IN', 'NN', 'NN', 'TO', 'VB', 'NNS', 'TO', 'VB', 'NN', 'NNS', 'WDT', 'VBP', 'IN', 'IN', 'NN', 'IN', 'DT', 'NN', '.']"
"For example, on a project to construct a new office building, the landscaping can be adjusted to start before the exterior work of the building is completed by increasing the lead time in the relationship, or a technical writing team can adjust the start of editing the draft of a large document immediately after the document is written by eliminating or decreasing lag time.","['IN', 'NN', ',', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', ',', 'DT', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'VBG', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'JJ', 'NN', 'NN', 'MD', 'VB', 'DT', 'NN', 'IN', 'VBG', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'RB', 'IN', 'DT', 'NN', 'VBZ', 'VBN', 'IN', 'VBG', 'CC', 'VBG', 'JJ', 'NN', '.']"
SCHEDULE COMPRESSION Schedule compression techniques (see Section 6.,"['NNP', 'NNP', 'NNP', 'NN', 'NNS', '(', 'VB', 'NNP', 'CD', '.']"
CONTROL SCHEDULE: OUTPUTS 6.,"['NNP', 'NNP', ':', 'NN', 'CD', '.']"
WORK PERFORMANCE INFORMATION Described in Section 4.,"['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
Work performance information includes information on how the project work is performing compared to the schedule baseline.,"['NNP', 'NN', 'NN', 'VBZ', 'NN', 'IN', 'WRB', 'DT', 'NN', 'NN', 'VBZ', 'VBG', 'VBN', 'TO', 'DT', 'NN', 'NN', '.']"
Variances in the start and finish dates and the durations can be calculated at the work package level and control account level.,"['NNS', 'IN', 'DT', 'NN', 'CC', 'JJ', 'NNS', 'CC', 'DT', 'NNS', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NN', 'NN', 'NN', 'CC', 'NN', 'VBP', 'NN', '.']"
"For projects using earned value analysis, the (SV) and (SPI) are documented for inclusion in work performance reports (see Section 4.","['IN', 'NNS', 'VBG', 'JJ', 'NN', 'NN', ',', 'DT', '(', 'NNP', ')', 'CC', '(', 'NNP', ')', 'VBP', 'VBN', 'IN', 'NN', 'IN', 'NN', 'NN', 'NNS', '(', 'VB', 'NNP', 'CD', '.']"
SCHEDULE FORECASTS Schedule updates are forecasts of estimates or predictions of conditions and events in the project's future based on information and knowledge available at the time of the forecast.,"['JJ', 'NNP', 'NNP', 'NNS', 'VBP', 'NNS', 'IN', 'NNS', 'CC', 'NNS', 'IN', 'NNS', 'CC', 'NNS', 'IN', 'DT', 'NN', 'POS', 'NN', 'VBN', 'IN', 'NN', 'CC', 'NN', 'JJ', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
Forecasts are updated and reissued based on work performance information provided as the project is executed.,"['NNS', 'VBP', 'VBN', 'CC', 'VBN', 'VBN', 'IN', 'NN', 'NN', 'NN', 'VBD', 'IN', 'DT', 'NN', 'VBZ', 'VBN', '.']"
The information is based on the project's past performance and expected future performance based on corrective or preventive actions.,"['DT', 'NN', 'VBZ', 'VBN', 'IN', 'DT', 'NN', 'POS', 'JJ', 'NN', 'CC', 'VBN', 'JJ', 'NN', 'VBN', 'IN', 'JJ', 'CC', 'JJ', 'NNS', '.']"
"This can include earned value performance indicators, as well as schedule reserve information that could impact the project in the future.","['DT', 'MD', 'VB', 'JJ', 'NN', 'NN', 'NNS', ',', 'RB', 'RB', 'IN', 'NN', 'NN', 'NN', 'WDT', 'MD', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
Part 1 - Guide 228 6.,"['NN', 'CD', ':', 'NNP', 'CD', 'CD', '.']"
CHANGE REQUESTS Described in Section 4.,"['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'CD', '.']"
"Schedule variance analysis, as well as reviews of progress reports, results of performance measures, and modifications to the project scope or project schedule, may result in change requests to the schedule baseline, scope baseline, and/or other components of the project management plan.","['NN', 'NN', 'NN', ',', 'RB', 'RB', 'IN', 'NNS', 'IN', 'NN', 'NNS', ',', 'NNS', 'IN', 'NN', 'NNS', ',', 'CC', 'NNS', 'TO', 'DT', 'NN', 'NN', 'CC', 'NN', 'NN', ',', 'MD', 'VB', 'IN', 'NN', 'NNS', 'TO', 'DT', 'NN', 'NN', ',', 'NN', 'NN', ',', 'VBZ', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'NN', 'NN', '.']"
Change requests are processed for review and disposition through the Perform Integrated Change Control process (Section 4.,"['NN', 'NNS', 'VBP', 'VBN', 'IN', 'NN', 'CC', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', '(', 'NN', 'CD', '.']"
Preventive actions may include recommended changes to eliminate or reduce the probability of negative schedule variances.,"['JJ', 'NNS', 'MD', 'VB', 'JJ', 'NNS', 'TO', 'VB', 'CC', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NNS', '.']"
PROJECT MANAGEMENT PLAN UPDATES Any change to the project management plan goes through the organization's change control process via a change request.,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'TO', 'DT', 'NN', 'NN', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'POS', 'NN', 'NN', 'NN', 'IN', 'DT', 'NN', 'NN', '.']"
Components that may require a change request for the project management plan include but are not limited to: Schedule management plan.,"['NNS', 'WDT', 'MD', 'VB', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'NNP', 'NN', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
The schedule management plan may be updated to uu reflect a change in the way the schedule is managed.,"['DT', 'NN', 'NN', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', 'DT', 'NN', 'VBZ', 'VBN', '.']"
Schedule baseline.,"['NNP', 'NN', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Changes to the schedule baseline are incorporated in uu response to approved change requests related to change in project scope, resources, or activity duration estimates.","['NNS', 'TO', 'DT', 'NN', 'NN', 'VBP', 'VBN', 'IN', 'JJ', 'NN', 'TO', 'VBN', 'NN', 'NNS', 'VBD', 'TO', 'VB', 'IN', 'NN', 'NN', ',', 'NNS', ',', 'CC', 'NN', 'NN', 'NNS', '.']"
The schedule baseline may be updated to reflect changes caused by schedule compression techniques or performance issues.,"['DT', 'NN', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'NNS', 'VBN', 'IN', 'NN', 'NN', 'NNS', 'CC', 'NN', 'NNS', '.']"
Cost baseline.,"['NN', 'NN', '.']"
Described in Section 7.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Changes to the cost baseline are incorporated in response to uu approved changes in scope, resources, or cost estimates.","['NNS', 'TO', 'DT', 'NN', 'NN', 'VBP', 'VBN', 'IN', 'NN', 'TO', 'VB', 'VBN', 'NNS', 'IN', 'NN', ',', 'NNS', ',', 'CC', 'NN', 'NNS', '.']"
Performance measurement baseline.,"['NNP', 'NN', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Changes to the performance measurement uu baseline are incorporated in response to approved changes in scope, schedule performance, or cost estimates.","['NNS', 'TO', 'DT', 'NN', 'NN', 'JJ', 'NN', 'VBP', 'VBN', 'IN', 'NN', 'TO', 'VBN', 'NNS', 'IN', 'NN', ',', 'NN', 'NN', ',', 'CC', 'NN', 'NNS', '.']"
"In some cases, the performance variances can be so severe that a change request is put forth to revise the performance measurement baseline to provide a realistic basis for performance measurement.","['IN', 'DT', 'NNS', ',', 'DT', 'NN', 'NNS', 'MD', 'VB', 'RB', 'JJ', 'IN', 'DT', 'NN', 'NN', 'VBZ', 'VBN', 'RB', 'TO', 'VB', 'DT', 'NN', 'NN', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NN', '.']"
PROJECT DOCUMENTS UPDATES Project documents that may be updated as a result of carrying out this process include but are not limited to: Assumption log.,"['NN', 'NNP', 'NNP', 'NNP', 'NNS', 'WDT', 'MD', 'VB', 'VBN', 'IN', 'DT', 'NN', 'IN', 'VBG', 'RP', 'DT', 'NN', 'VBP', 'CC', 'VBP', 'RB', 'VBN', 'TO', ':', 'NN', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Schedule performance may indicate the need to revise uu assumptions on activity sequencing, durations, and productivity.","['NNP', 'NN', 'MD', 'VB', 'DT', 'NN', 'TO', 'VB', 'JJ', 'NNS', 'IN', 'NN', 'NN', ',', 'NNS', ',', 'CC', 'NN', '.']"
Basis of estimates.,"['NN', 'IN', 'NNS', '.']"
Described in Section 6.,"['VBN', 'IN', 'NN', 'CD', '.']"
Schedule performance may indicate the need to revise the uu way duration estimates were developed.,"['NNP', 'NN', 'MD', 'VB', 'DT', 'NN', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', 'NNS', 'VBD', 'VBN', '.']"
Lessons learned register.,"['NNS', 'VBD', 'NN', '.']"
Described in Section 4.,"['VBN', 'IN', 'NN', 'CD', '.']"
"The lessons learned register can be updated with uu techniques that were effective in maintaining the schedule, causes of variances, and corrective actions that were used to respond to schedule variances.","['DT', 'NNS', 'VBD', 'NN', 'MD', 'VB', 'VBN', 'IN', 'JJ', 'NNS', 'WDT', 'VBD', 'JJ', 'IN', 'VBG', 'DT', 'NN', ',', 'NNS', 'IN', 'NNS', ',', 'CC', 'JJ', 'NNS', 'WDT', 'VBD', 'VBN', 'TO', 'VB', 'TO', 'VB', 'NNS', '.']"
Project schedule.,"['NN', 'NN', '.']"
An updated project schedule (see Section 6.,"['DT', 'JJ', 'NN', 'NN', '(', 'VB', 'NNP', 'CD', '.']"
Resource calendars.,"['NNP', 'NNS', '.']"
Described in Section 9.,"['VBN', 'IN', 'NN', 'CD', '.']"
"Resource calendars are updated to reflect changes to uu the utilization of resource calendars that were the result of optimizing resources, schedule compression, and corrective or preventive actions.","['NNP', 'NNS', 'VBP', 'VBN', 'TO', 'VB', 'NNS', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', 'NNS', 'WDT', 'VBD', 'DT', 'NN', 'IN', 'VBG', 'NNS', ',', 'NN', 'NN', ',', 'CC', 'JJ', 'CC', 'JJ', 'NNS', '.']"
Risk register.,"['NN', 'NN', '.']"
Described in Section 11.,"['VBN', 'IN', 'NN', 'CD', '.']"
